FIPS,Location,County,State,mortality_resp,perc_mortality_change_resp,mortality_ast,perc_mortality_change_ast,mortality_lung,perc_mortality_change_lung
13225,"Peach County, Georgia",Peach,Georgia,70.9,60.03,1.99,-36.54,6.79,96.18
13227,"Pickens County, Georgia",Pickens,Georgia,75.9,74.95,1.06,-45.78,5.88,114.6
13229,"Pierce County, Georgia",Pierce,Georgia,94.8,93.76,1.31,-30.79,7.38,109.4
13231,"Pike County, Georgia",Pike,Georgia,75.7,60.78,0.94,-51.99,5.5,79.43
13233,"Polk County, Georgia",Polk,Georgia,96,125.31,1.25,-34.08,8.23,134.45
13235,"Pulaski County, Georgia",Pulaski,Georgia,57.8,6.03,1.6,-41.49,6.16,80.48
13237,"Putnam County, Georgia",Putnam,Georgia,56.7,54.44,1.25,-49.04,4.78,80.06
13239,"Quitman County, Georgia",Quitman,Georgia,57.3,40.28,1.92,-49.00,6.21,70.58
13241,"Rabun County, Georgia",Rabun,Georgia,66.9,92.71,0.99,-48.12,5.34,115.66
13243,"Randolph County, Georgia",Randolph,Georgia,53.1,59.21,2.06,-31.48,5.67,95.01
13245,"Richmond County, Georgia",Richmond,Georgia,66.2,40.27,2,-10.39,6.58,102.56
13247,"Rockdale County, Georgia",Rockdale,Georgia,58.6,22.52,1.6,-19.61,6.17,106.95
13249,"Schley County, Georgia",Schley,Georgia,54.4,22.59,1.38,-50.17,5.34,74.64
13251,"Screven County, Georgia",Screven,Georgia,69.1,82.4,2.27,-23.29,5.39,99.54
13253,"Seminole County, Georgia",Seminole,Georgia,73.5,73.87,1.51,-25.66,6.94,105.87
13255,"Spalding County, Georgia",Spalding,Georgia,88,89.4,1.58,-32.96,6.79,113.5
13257,"Stephens County, Georgia",Stephens,Georgia,94.4,223.99,1.58,-34.54,6.6,154.31
13259,"Stewart County, Georgia",Stewart,Georgia,60.3,50.28,1.84,-48.11,5.94,88.16
13261,"Sumter County, Georgia",Sumter,Georgia,59.2,69.62,2.5,-16.67,6.08,115.78
13263,"Talbot County, Georgia",Talbot,Georgia,65.7,61.49,1.82,-45.39,6.71,98.03
13265,"Taliaferro County, Georgia",Taliaferro,Georgia,57.7,38.82,2.29,-45.17,6.36,107.75
13267,"Tattnall County, Georgia",Tattnall,Georgia,85.9,95.08,1.52,-29.75,8.57,129.97
13269,"Taylor County, Georgia",Taylor,Georgia,73.2,67.96,1.62,-33.40,5.9,104.46
13271,"Telfair County, Georgia",Telfair,Georgia,78.3,72.54,1.8,-28.19,6.4,108.02
13273,"Terrell County, Georgia",Terrell,Georgia,66.5,76.8,2.32,-33.73,6.65,99.49
13275,"Thomas County, Georgia",Thomas,Georgia,54.7,30.59,1.91,-35.95,5.94,85.5
13277,"Tift County, Georgia",Tift,Georgia,75.2,83.88,1.5,-24.76,7.7,121.11
13279,"Toombs County, Georgia",Toombs,Georgia,93.6,102.69,1.63,-22.68,8.32,129.3
13281,"Towns County, Georgia",Towns,Georgia,56.4,76.98,0.99,-49.88,5.82,141.7
