fips,location,county,state,mortality_resp,perc_mortality_change_resp,mortality_ast,perc_mortality_change_ast,mortality_lung,perc_mortality_change_lung,year,days_with_aqi,good_days,moderate_days,unhealthy_for_sensitive_groups_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,x90th_percentile_aqi,median_aqi,days_co,days_no2,days_ozone,days_pm2_5,days_pm10,lat,long,distance_to_nearest_plant,name_of_nearest_plant,name,is_plant
12033,"Escambia County, Florida",Escambia,Florida,70.1,71.46,1.35,-23.67,7.06,122.29,2014,365,273,88,4,0,0,0,126,61,42,0,0,207,158,0,30.669,-87.363,72227.31829102847,Barry Steam Plant,NA,0
12035,"Flagler County, Florida",Flagler,Florida,42.3,39.5,0.98,-37.35,5.14,95.06,2014,360,335,25,0,0,0,0,90,47,35,0,0,360,0,0,29.4614,-81.3136,43197.481785246935,Seminole Generating Station,NA,0
12037,"Franklin County, Florida",Franklin,Florida,76.4,63.88,1.26,-37.75,5.9,83.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.8765,-84.814,229017.5681286497,Crystal River Energy Complex,NA,0
12039,"Gadsden County, Florida",Gadsden,Florida,55.8,33.82,2.13,-40.11,8.02,95.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5795,-84.6136,232854.72107504768,Deerhaven Generating Station,NA,0
12041,"Gilchrist County, Florida",Gilchrist,Florida,74.8,26.22,1.04,-48.55,8.08,103.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7258,-82.8004,40059.06010869863,Deerhaven Generating Station,NA,0
12043,"Glades County, Florida",Glades,Florida,44.1,15.02,0.75,-56.75,3.83,43.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.9564,-81.189,151816.02571360968,Big Bend Station,NA,0
12045,"Gulf County, Florida",Gulf,Florida,80.7,66.64,1.2,-39.74,4.57,62.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.9556,-85.2266,268871.9274137932,Crystal River Energy Complex,NA,0
12047,"Hamilton County, Florida",Hamilton,Florida,77.5,49.65,1.89,-36.63,7.13,92.08,2014,271,214,57,0,0,0,0,72,56,38,0,0,0,271,0,30.4964,-82.9479,97927.37413561884,Deerhaven Generating Station,NA,0
12049,"Hardee County, Florida",Hardee,Florida,62.7,48.27,0.89,-44.09,5.05,52.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.4927,-81.81,67410.64863613402,Big Bend Station,NA,0
12051,"Hendry County, Florida",Hendry,Florida,59.1,33.23,0.97,-52.20,4.09,44.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.5535,-81.1659,184224.59902190443,Big Bend Station,NA,0
12053,"Hernando County, Florida",Hernando,Florida,64.1,104.82,0.6,-50.09,4.83,65.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.5535,-82.4245,52223.63098224056,Crystal River Energy Complex,NA,0
12055,"Highlands County, Florida",Highlands,Florida,61.6,82.25,0.9,-42.26,4.31,60.45,2014,350,327,23,0,0,0,0,77,47,32,0,0,350,0,0,27.3433,-81.341,116192.09188237115,Big Bend Station,NA,0
12057,"Hillsborough County, Florida",Hillsborough,Florida,52.9,3.28,1.04,-46.25,4.44,47.7,2014,365,250,109,6,0,0,0,115,71,44,0,1,185,179,0,27.9291,-82.3091,17575.579795178364,Big Bend Station,NA,0
12059,"Holmes County, Florida",Holmes,Florida,101,85.75,1.16,-21.52,6.57,96.58,2014,365,294,71,0,0,0,0,100,55,39,0,0,180,185,0,30.8679,-85.814,210304.5005468768,Barry Steam Plant,NA,0
12061,"Indian River County, Florida",Indian River,Florida,41.1,25.2,0.7,-53.91,5.15,65.3,2014,349,315,33,1,0,0,0,105,50,37,0,0,349,0,0,27.6943,-80.6062,103346.94159640028,Stanton Energy Center,NA,0
12063,"Jackson County, Florida",Jackson,Florida,66.2,50.78,1.42,-32.81,7.5,101.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.7954,-85.2155,268059.69537143194,Barry Steam Plant,NA,0
12065,"Jefferson County, Florida",Jefferson,Florida,55.6,31.36,1.7,-48.72,6.28,92.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.4375,-83.8953,163590.11986657663,Deerhaven Generating Station,NA,0
12067,"Lafayette County, Florida",Lafayette,Florida,79.8,38.71,1.12,-32.88,7.84,119.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.9855,-83.1811,80619.69323716676,Deerhaven Generating Station,NA,0
12069,"Lake County, Florida",Lake,Florida,46,28.43,0.66,-55.73,4.97,81.66,2014,362,331,29,2,0,0,0,108,50,33,0,0,362,0,0,28.7615,-81.7113,61485.33131089304,Stanton Energy Center,NA,0
12071,"Lee County, Florida",Lee,Florida,40.1,23.88,0.56,-53.69,4.62,55.99,2014,365,306,59,0,0,0,0,93,54,38,0,0,255,106,4,26.5779,-81.8337,146125.87262184874,Big Bend Station,NA,0
12073,"Leon County, Florida",Leon,Florida,47.9,5.81,1.36,-33.31,7.15,110.87,2014,365,250,114,0,1,0,0,157,61,43,0,0,123,242,0,30.458,-84.2779,197932.13785644312,Deerhaven Generating Station,NA,0
12075,"Levy County, Florida",Levy,Florida,75.8,67.08,1.03,-47.94,6.08,86.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.3184,-82.7436,40271.61434960975,Crystal River Energy Complex,NA,0
12077,"Liberty County, Florida",Liberty,Florida,91.9,56.02,1.26,-30.73,6.35,94.23,2014,351,343,8,0,0,0,0,61,44,32,0,0,351,0,0,30.2414,-84.8829,246576.50338702952,Deerhaven Generating Station,NA,0
12079,"Madison County, Florida",Madison,Florida,61.3,41.37,1.65,-39.69,7.24,100.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.4441,-83.4701,129006.56988791768,Deerhaven Generating Station,NA,0
12081,"Manatee County, Florida",Manatee,Florida,40,1.84,0.66,-52.87,4.27,43.52,2014,365,333,31,1,0,0,0,101,50,36,0,0,365,0,0,27.4719,-82.3153,36769.3673708805,Big Bend Station,NA,0
12083,"Marion County, Florida",Marion,Florida,57.7,45.01,1.1,-41.49,4.89,78.2,2014,365,307,58,0,0,0,0,97,54,39,0,0,199,166,0,29.2102,-82.0567,68682.240919702,Crystal River Energy Complex,NA,0
12085,"Martin County, Florida",Martin,Florida,45.6,43.71,0.57,-54.83,4.24,57.2,2014,363,329,33,1,0,0,0,101,50,37,0,0,259,104,0,27.0775,-80.4315,171801.83366787207,Stanton Energy Center,NA,0
12086,"Miami-Dade County, Florida",Miami-Dade,Florida,33.6,3.33,0.98,-49.41,4.23,86.53,2014,365,272,92,1,0,0,0,123,59,43,0,4,139,222,0,25.615,-80.5623,303083.48889475735,Big Bend Station,NA,0
12087,"Monroe County, Florida",Monroe,Florida,39.1,-0.94,0.79,-61.58,4.48,63.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3187,-81.1087,303099.8684903339,Big Bend Station,NA,0
12089,"Nassau County, Florida",Nassau,Florida,70,27.4,1.03,-32.56,6.77,98.71,2014,266,211,55,0,0,0,0,70,58,36,0,0,0,266,0,30.6107,-81.8017,31816.082355883656,Northside Generating Station,NA,0
12091,"Okaloosa County, Florida",Okaloosa,Florida,71.1,71.83,0.67,-39.11,5.74,111.37,2014,364,336,27,1,0,0,0,115,47,35,0,0,348,0,16,30.6913,-86.5917,139979.8283433271,Barry Steam Plant,NA,0
