FIPS,Location,mortality_resp,perc_mortality_change_resp,mortality_ast,perc_mortality_change_ast,mortality_lung,perc_mortality_change_lung
13,Georgia,61.9,41.45,1.31,-45.42,6.26,102.31
13001,"Appling County, Georgia",98.0,94.31,1.43,-25.22,7.38,120.92
13003,"Atkinson County, Georgia",116.,81.06,1.84,-36.80,8.79,117.65
13005,"Bacon County, Georgia",89.5,94.43,1.57,-15.53,7.85,143.87
13007,"Baker County, Georgia",52.4,37.06,1.46,-47.15,5.82,72.9
13009,"Baldwin County, Georgia",77.4,78.36,1.79,-18.59,5.32,100.96
13011,"Banks County, Georgia",70.4,93.93,1.04,-49.07,5.15,121.35
13013,"Barrow County, Georgia",95.9,95.37,1.20,-48.05,7.10,125.85
13015,"Bartow County, Georgia",80.7,72.36,1.15,-42.36,7.61,129.78
13017,"Ben Hill County, Georgia",87.5,99.55,2.06,-14.71,6.74,116.66
13019,"Berrien County, Georgia",107.,85.97,1.54,-21.40,7.56,117.13
13021,"Bibb County, Georgia",72.0,71.58,2.32,-13.65,7.80,114.46
13023,"Bleckley County, Georgia",95.5,123.19,1.66,-10.14,7.75,141.79
13025,"Brantley County, Georgia",114.,81.72,1.25,-24.56,7.68,114.32
13027,"Brooks County, Georgia",68.0,55.17,1.77,-43.89,6.95,92.76
13029,"Bryan County, Georgia",97.4,63.69,1.20,-45.47,7.75,100.14
13031,"Bulloch County, Georgia",68.1,63.07,1.61,-29.16,6.93,115.97
13033,"Burke County, Georgia",68.7,86.9,2.09,-28.23,6.62,114.2
13035,"Butts County, Georgia",89.3,102.65,1.77,-46.28,5.84,92.82
13037,"Calhoun County, Georgia",64.1,70.13,2.18,-27.41,6.57,105.12
13039,"Camden County, Georgia",72.5,34.16,1.09,-49.28,6.96,75.42
13043,"Candler County, Georgia",80.9,112.13,1.73,-30.12,7.16,126.72
13045,"Carroll County, Georgia",80.0,85.26,1.32,-36.17,5.58,117.01
13047,"Catoosa County, Georgia",74.6,64.96,1.02,-40.09,6.21,146.92
13049,"Charlton County, Georgia",87.6,47.93,1.44,-27.55,6.29,90.76
13051,"Chatham County, Georgia",55.6,22.51,1.14,-43.04,6.14,78.93
13053,"Chattahoochee County, Georgia",70.8,77.29,0.93,-54.52,5.47,80.45
13055,"Chattooga County, Georgia",84.9,97.08,1.23,-26.37,5.52,110.74
13057,"Cherokee County, Georgia",56.5,12.21,0.78,-51.75,5.15,96.64
13059,"Clarke County, Georgia",53.7,48.36,1.65,-37.43,6.54,122.61
13061,"Clay County, Georgia",52.0,47.38,2.25,-35.45,6.66,101.44
13063,"Clayton County, Georgia",57.6,-0.21,1.75,4.46 (,6.13,127.94
13065,"Clinch County, Georgia",87.5,46.08,1.79,-26.59,7.87,106.06
13067,"Cobb County, Georgia",46.8,-2.55,0.81,-42.14,5.77,107.76
13069,"Coffee County, Georgia",95.0,107.85,2.03,-15.07,9.25,136.93
13071,"Colquitt County, Georgia",83.3,86.96,2.35,-18.11,8.91,118.4
13073,"Columbia County, Georgia",51.5,9.95,0.78,-50.17,6.15,80.34
13075,"Cook County, Georgia",93.0,90.57,2.09,-20.73,6.93,108.84
13077,"Coweta County, Georgia",68.5,50.77,1.16,-52.15,6.54,105.26
13079,"Crawford County, Georgia",60.1,44.53,1.12,-52.58,5.91,83.91
13081,"Crisp County, Georgia",63.7,46.16,2.14,-26.27,5.94,87.33
13083,"Dade County, Georgia",76.0,81.24,1.02,-35.34,5.49,118.25
13085,"Dawson County, Georgia",59.8,25.02,0.87,-55.16,4.80,89.48
13087,"Decatur County, Georgia",75.6,59.37,1.79,-25.17,7.31,95.94
13089,"DeKalb County, Georgia",37.6,-3.66,1.32,-36.72,5.72,121.84
13091,"Dodge County, Georgia",84.3,60.09,1.93,-20.44,6.80,110.75
13093,"Dooly County, Georgia",57.4,20.16,1.99,-38.22,6.32,97.51
13095,"Dougherty County, Georgia",66.8,50.64,2.60,-2.57 ,7.89,113.58
13097,"Douglas County, Georgia",62.2,30.31,1.15,-19.60,6.10,122.06
13099,"Early County, Georgia",58.1,62.12,1.93,-18.19,6.85,112.66
13101,"Echols County, Georgia",81.6,53.29,1.16,-38.56,6.06,90.7
13103,"Effingham County, Georgia",78.8,80.81,1.08,-32.96,6.75,114.51
13105,"Elbert County, Georgia",71.4,67.21,1.79,-33.40,7.51,120.68
13107,"Emanuel County, Georgia",87.8,110.5,1.89,-17.38,7.78,123.44
13109,"Evans County, Georgia",75.7,79.62,1.83,-25.43,9.52,149.53
13111,"Fannin County, Georgia",74.8,91.97,1.05,-47.85,4.94,108.78
13113,"Fayette County, Georgia",45.4,-2.39,0.68,-45.88,5.74,104.91
13115,"Floyd County, Georgia",66.7,69.45,0.99,-40.47,6.80,117.15
13117,"Forsyth County, Georgia",51.4,-0.65,0.64,-61.44,5.18,99.66
13119,"Franklin County, Georgia",81.5,99.84,1.68,-47.45,5.27,111.5
13121,"Fulton County, Georgia",40.6,-6.69,1.47,-63.60,5.16,67.73
13123,"Gilmer County, Georgia",64.3,56.79,0.96,-48.93,5.19,109.46
13125,"Glascock County, Georgia",71.6,79.09,1.48,-17.78,5.97,134.19
13127,"Glynn County, Georgia",73.6,58.48,1.42,-27.96,8.00,106.35
13129,"Gordon County, Georgia",75.6,71.77,1.10,-41.39,6.88,125.1
13131,"Grady County, Georgia",62.4,63.84,1.54,-31.10,6.75,106
13133,"Greene County, Georgia",47.4,8.99,1.60,-57.23,5.40,77.57
13135,"Gwinnett County, Georgia",49.1,7.64,0.94,-36.75,6.07,128.61
13137,"Habersham County, Georgia",68.3,109.26,1.00,-49.09,5.04,119.46
13139,"Hall County, Georgia",61.3,39.21,1.09,-50.44,5.68,115.56
13141,"Hancock County, Georgia",54.4,33.6,2.49,-42.21,5.67,88.85
13143,"Haralson County, Georgia",91.8,119.45,1.02,-36.37,6.78,129.76
13145,"Harris County, Georgia",51.5,34.96,0.74,-62.62,5.57,72.62
13147,"Hart County, Georgia",67.2,71.06,1.42,-45.13,6.07,114.33
13149,"Heard County, Georgia",93.2,126.29,1.08,-42.27,5.32,104.12
13151,"Henry County, Georgia",69.4,18.01,1.22,-40.76,7.91,121.99
13153,"Houston County, Georgia",59.5,26.83,1.18,-27.79,6.31,115.86
13155,"Irwin County, Georgia",79.2,72.49,1.61,-29.86,6.92,109.65
13157,"Jackson County, Georgia",79.5,94.53,1.04,-49.08,5.35,111.2
13159,"Jasper County, Georgia",61.3,63.27,1.34,-51.54,5.50,90.7
13161,"Jeff Davis County, Georgia",98.0,104.3,1.41,-19.37,6.83,115.46
13163,"Jefferson County, Georgia",61.2,72.7,3.14,-13.57,7.05,131.4
13165,"Jenkins County, Georgia",83.4,44.9,2.73,-29.17,6.60,92.86
13167,"Johnson County, Georgia",73.5,92.39,1.88,-15.36,6.98,133.37
13169,"Jones County, Georgia",74.3,67.2,1.31,-37.23,5.12,82.53
13171,"Lamar County, Georgia",81.4,93.66,1.40,-39.89,6.21,109.8
13173,"Lanier County, Georgia",85.5,61.93,1.70,-31.44,7.26,98.62
13175,"Laurens County, Georgia",77.8,85.45,1.75,-25.17,6.64,101.91
13177,"Lee County, Georgia",71.7,80.96,1.30,-29.83,6.46,111.13
13179,"Liberty County, Georgia",71.7,50.49,1.65,-28.35,8.65,120.94
13181,"Lincoln County, Georgia",63.9,44.13,1.83,-37.80,6.20,94.89
13183,"Long County, Georgia",76.7,22.45,1.27,-42.02,6.80,88.94
13185,"Lowndes County, Georgia",75.5,48.39,1.83,-30.83,8.26,109.63
13187,"Lumpkin County, Georgia",82.4,91.95,0.92,-47.44,5.01,113.55
13189,"McDuffie County, Georgia",68.9,60.9,2.05,-19.98,6.39,103.88
13191,"McIntosh County, Georgia",63.1,22.7,1.36,-51.30,6.37,70.75
13193,"Macon County, Georgia",60.7,37.46,2.39,-26.37,6.84,122.59
13195,"Madison County, Georgia",93.7,111.51,1.22,-42.78,6.98,133.62
13197,"Marion County, Georgia",71.8,44.54,1.59,-52.66,5.79,78.96
13199,"Meriwether County, Georgia",56.5,79.14,1.38,-43.86,5.17,94.58
13201,"Miller County, Georgia",66.2,64.28,1.54,-24.74,6.36,99.09
13205,"Mitchell County, Georgia",58.7,52.2,1.96,-31.80,6.21,88.99
13207,"Monroe County, Georgia",52.7,36.69,1.23,-53.92,5.45,77.15
13209,"Montgomery County, Georgia",83.7,79.94,1.39,-36.79,6.82,100.7
13211,"Morgan County, Georgia",49.9,35.63,1.16,-56.06,5.54,85.69
13213,"Murray County, Georgia",98.0,86.36,1.13,-41.39,7.19,128.07
13215,"Muscogee County, Georgia",70.0,47.41,1.78,-30.52,7.64,115.97
13217,"Newton County, Georgia",69.9,64.16,1.45,-33.90,7.01,112.36
13219,"Oconee County, Georgia",51.6,32.2,0.72,-53.78,5.94,115.72
13221,"Oglethorpe County, Georgia",58.6,36.87,1.23,-54.31,5.62,92.44
13223,"Paulding County, Georgia",65.9,35.8,0.88,-44.63,6.26,116.7
13225,"Peach County, Georgia",70.9,60.03,1.99,-36.54,6.79,96.18
13227,"Pickens County, Georgia",75.9,74.95,1.06,-45.78,5.88,114.6
13229,"Pierce County, Georgia",94.8,93.76,1.31,-30.79,7.38,109.4
13231,"Pike County, Georgia",75.7,60.78,0.94,-51.99,5.50,79.43
13233,"Polk County, Georgia",96.0,125.31,1.25,-34.08,8.23,134.45
13235,"Pulaski County, Georgia",57.8,6.03,1.60,-41.49,6.16,80.48
13237,"Putnam County, Georgia",56.7,54.44,1.25,-49.04,4.78,80.06
13239,"Quitman County, Georgia",57.3,40.28,1.92,-49.00,6.21,70.58
13241,"Rabun County, Georgia",66.9,92.71,0.99,-48.12,5.34,115.66
13243,"Randolph County, Georgia",53.1,59.21,2.06,-31.48,5.67,95.01
13245,"Richmond County, Georgia",66.2,40.27,2.00,-10.39,6.58,102.56
13247,"Rockdale County, Georgia",58.6,22.52,1.60,-19.61,6.17,106.95
13249,"Schley County, Georgia",54.4,22.59,1.38,-50.17,5.34,74.64
13251,"Screven County, Georgia",69.1,82.4,2.27,-23.29,5.39,99.54
13253,"Seminole County, Georgia",73.5,73.87,1.51,-25.66,6.94,105.87
13255,"Spalding County, Georgia",88.0,89.4,1.58,-32.96,6.79,113.5
13257,"Stephens County, Georgia",94.4,223.99,1.58,-34.54,6.60,154.31
13259,"Stewart County, Georgia",60.3,50.28,1.84,-48.11,5.94,88.16
13261,"Sumter County, Georgia",59.2,69.62,2.50,-16.67,6.08,115.78
13263,"Talbot County, Georgia",65.7,61.49,1.82,-45.39,6.71,98.03
13265,"Taliaferro County, Georgia",57.7,38.82,2.29,-45.17,6.36,107.75
13267,"Tattnall County, Georgia",85.9,95.08,1.52,-29.75,8.57,129.97
13269,"Taylor County, Georgia",73.2,67.96,1.62,-33.40,5.90,104.46
13271,"Telfair County, Georgia",78.3,72.54,1.80,-28.19,6.40,108.02
13273,"Terrell County, Georgia",66.5,76.8,2.32,-33.73,6.65,99.49
13275,"Thomas County, Georgia",54.7,30.59,1.91,-35.95,5.94,85.5
13277,"Tift County, Georgia",75.2,83.88,1.50,-24.76,7.70,121.11
13279,"Toombs County, Georgia",93.6,102.69,1.63,-22.68,8.32,129.3
13281,"Towns County, Georgia",56.4,76.98,0.99,-49.88,5.82,141.7
13283,"Treutlen County, Georgia",89.6,93.47,1.74,-29.46,7.27,113.28
13285,"Troup County, Georgia",69.0,75.9,1.36,-37.22,6.35,111.84
13287,"Turner County, Georgia",85.3,104.69,2.31,-13.17,6.68,121.04
13289,"Twiggs County, Georgia",71.4,53.18,1.67,-42.35,6.45,83.59
13291,"Union County, Georgia",54.4,93.47,0.97,-46.62,4.65,127.08
13293,"Upson County, Georgia",91.7,84.52,1.44,-26.30,7.07,121.44
13295,"Walker County, Georgia",89.5,80.7,1.11,-36.28,7.20,135.39
13297,"Walton County, Georgia",73.9,104.07,1.14,-42.78,6.59,120.4
13299,"Ware County, Georgia",94.5,131.82,1.87,-3.88 ,8.44,148.35
13301,"Warren County, Georgia",67.4,58.29,2.68,-25.45,6.98,115.02
13303,"Washington County, Georgia",63.1,44.14,2.32,-27.54,6.47,114.33
13305,"Wayne County, Georgia",84.3,69.31,1.30,-29.65,6.99,110.27
13307,"Webster County, Georgia",50.9,34.87,1.47,-52.96,5.19,73.57
13309,"Wheeler County, Georgia",75.8,66.92,1.58,-32.45,6.64,109.66
13311,"White County, Georgia",66.3,93.11,1.20,-42.08,4.97,125.63
13313,"Whitfield County, Georgia",72.3,54.37,1.06,-41.40,6.17,127.98
13315,"Wilcox County, Georgia",84.7,72.24,2.20,-17.40,6.92,125.81
13317,"Wilkes County, Georgia",68.2,43.5,1.94,-36.10,5.94,94.96
13319,"Wilkinson County, Georgia",78.9,83.17,1.87,-27.25,6.89,112.09
13321,"Worth County, Georgia",71.9,75.68,1.81,-35.10,6.25,85.47
15,Hawaii,27.7,-10.64,1.53,-60.99,4.64,39.83
15001,"Hawaii County, Hawaii",31.8,6.49,1.50,-60.14,4.29,32.53
15003,"Honolulu County, Hawaii",26.2,-16.54,1.46,-62.42,4.62,38.63
15005,"Kalawao County, Hawaii",32.0,12.03,1.88,-58.55,5.20,58.71
15007,"Kauai County, Hawaii",28.3,-14.69,1.82,-53.14,4.67,40.81
15009,"Maui County, Hawaii",32.0,12.03,1.88,-58.55,5.20,58.71
16,Idaho,58.6,20.79,1.22,-56.84,6.54,116.07
16001,"Ada County, Idaho",54.6,6.95,0.99,-59.58,6.77,120.25
16003,"Adams County, Idaho",42.4,7.15,1.16,-58.22,4.86,100.22
16005,"Bannock County, Idaho",65.3,39.52,1.15,-51.14,7.83,131.03
16007,"Bear Lake County, Idaho",60.0,27.27,1.29,-51.62,7.52,128.89
16009,"Benewah County, Idaho",80.3,35.46,1.51,-49.55,6.12,99.37
16011,"Bingham County, Idaho",58.8,17.6,1.20,-56.04,6.74,107.77
16013,"Blaine County, Idaho",36.4,-10.05,0.97,-64.65,4.82,91.13
16015,"Boise County, Idaho",50.9,13.78,1.04,-60.77,4.77,94.8
16017,"Bonner County, Idaho",50.0,-10.2,1.10,-63.20,5.66,89.29
16019,"Bonneville County, Idaho",63.7,30.06,1.19,-52.44,6.63,120.84
16021,"Boundary County, Idaho",59.3,14.83,1.08,-59.29,6.93,115.85
16023,"Butte County, Idaho",58.3,5.07,1.26,-59.37,4.95,81.27
16025,"Camas County, Idaho",45.3,-9.67,1.10,-62.29,4.33,74.04
16027,"Canyon County, Idaho",63.2,57.12,1.00,-58.31,6.68,123.68
16029,"Caribou County, Idaho",59.8,31.31,1.08,-55.62,8.03,141.87
16031,"Cassia County, Idaho",60.9,31.11,1.53,-49.87,5.91,117.14
16033,"Clark County, Idaho",64.3,-7.15,1.43,-63.24,5.36,89.7
16035,"Clearwater County, Idaho",69.5,22.03,1.30,-51.07,6.14,106.44
16037,"Custer County, Idaho",48.7,1.13,1.11,-62.90,4.43,86.65
16039,"Elmore County, Idaho",64.4,15.3,1.45,-57.29,5.72,97.99
16041,"Franklin County, Idaho",35.7,7.8,1.02,-58.20,8.02,135.64
16043,"Fremont County, Idaho",42.2,-16.37,1.18,-62.06,5.19,82.28
16045,"Gem County, Idaho",66.9,39.68,1.43,-57.58,6.05,117.29
16047,"Gooding County, Idaho",61.0,15.1,1.58,-52.55,6.56,116.21
16049,"Idaho County, Idaho",57.8,20.54,1.26,-56.23,5.23,103.53
16051,"Jefferson County, Idaho",48.1,-6.94,1.18,-58.75,5.36,84.02
16053,"Jerome County, Idaho",64.3,27.82,1.90,-45.11,5.89,112.12
16055,"Kootenai County, Idaho",58.6,10.3,1.32,-57.42,6.79,108.47
16057,"Latah County, Idaho",47.6,21.15,1.31,-53.12,5.84,120.19
16059,"Lemhi County, Idaho",65.3,14.98,1.46,-56.96,4.97,98.05
16061,"Lewis County, Idaho",57.4,-5.38,1.70,-56.43,7.15,83.11
16063,"Lincoln County, Idaho",62.9,16.33,1.63,-54.88,5.52,101.44
16065,"Madison County, Idaho",34.9,-11.93,1.48,-52.70,5.50,93.34
16067,"Minidoka County, Idaho",52.9,22.31,1.71,-45.72,6.14,114.55
16069,"Nez Perce County, Idaho",62.1,17.59,1.45,-54.47,6.51,96.14
16071,"Oneida County, Idaho",45.5,9.73,1.19,-59.34,7.21,130.7
